customer_name
UNIVERSAL TERMINATION COMPONENTS P/L
TYCO ELECTRONICS AUSTRALIA PTY LTD
YAZAKI CIEMEL FTZ LTDA
PT. SURABAYA AUTOCOMP INDONESIA
"SUBANG AUTOCOMP INDONESIA, PT"
"WISNU PUTRA MANDIRI, CV"
"AGILITY INTERNATIONAL, PT"
WORLD HEADQUARTERS /YC
YAZAKI EDS SAMOA LTD
"ZHANGZHOU YAZAKI AUTO PARTS CO., LTD."
"R.DAMAR ARYO ADIWINOTO,SE"
"POMALA BINATAMA,PT"
"JATIM AUTOCOMP INDONESIA, PT"
"ASURANSI MSIG INDONESIA,PT"
YAZAKI INDIA LIMITED
YAZAKI TORRES MANUFACTURING INC.
UNIAIR INDOTAMA CARGO
"ARNECOM,S.A.DE CV"
"EDS MANUFACTURING INC, CO"
INDOKARLO PERKASA
FINANCE
SINAR COMPUTER
YAZAKI WIRING TECHNOLOGIES INDIA PVT.LTD
TAIWAN YAZAKI CORPORATION
HENAN TIANHAI ELECTRIC (GROUP) CORPORATION
"EDS MANUFACTURING INDONESIA, PT"
"SKYPAK INTERNATIONAL, PT"
"NIPPON EXPRESS INDONESIA, PT"
"YAZAKI EDS VIETNAM,LTD"
CHIP-1 EXCHANGE EL.COMP.FZE
YAZAKI DO BRAZIL LTDA
"YAZAKI AUTOPARTS BRASIL,LTDA"
"HUANAN YAZAKI (SHANTOU) AUTO PARTS CO.,LTD"
"ASURANSI AIOI INDONESIA,PT"
"SERVITAMA MEDIKOMINDO TEKNOLOGI,PT"
COP
"AST INDONESIA, PT"
PT. SYNUS TONERINDO PRIMA
"ATLANTIC CONTAINER LINE,PT"
DJAYA MANDIRI TEKNIK
"CIPTA CEMERLANG ABADI,CV"
TATA YAZAKI AUTOCOMP LIMITED
PGA-SAMI
KAS NEGARA
"CAH ANGON BEJO,UD"
"YUSEN AIR SEA SERVICE, PT"
OMNI PRECISION SDN BHD
"AMPHENOL ADRONICS,Inc."
TIANJIN YAZAKI AUTOMOTIVE PARTS CO.LTD
TYCO ELECTRIC CZECH
CIMB NIAGA
"SINAR TIRTA EMAS,PT"
YAZAKI WIRING TEHNOLOGIES SLOVAKIA
"AUTOCOMP SYSTEM INDONESIA, PT."
YAZAKI EUROPE LTD
"THAI ARROW PRODUCTS CO., LTD."
YGP PTE. LTD.
HANGZHOU YAZAKI PARTS LTD
"SURABAYA AUTOCOMP INDONESIA, PT"
PASI-AW
"YAZAKI CORPORATION, JAPAN"
AUSTRALIAN ARROW PTY. LTD
YAZAKI NORTH AMERICA
"YANTAI YAZAKI AUTOMOTIVE PART CO, LTD"
"SEMARANG AUTOCOMP MANUFACTURING INDONESIA, PT."
BANK MANDIRI
HR-JF
SAMI-Local Purchase
EXIM-SAMI
EXIM-JF
"MUFG BANK, LTD"
"MANGKUBUMI UTAMA SEJAHTERA, PT"
SUBANG AUTOCOMP INDONESIA
MUZAIDI
"ASIA GROW LOGISTIC, PT"
"JCL INDONESIA, PT"
AMP SINGAPORE PTE LTD
SIGIT PRASETYOKO
INDAH JAYA MOTOR
YAZAKI (CHINA) INVESTMENT CORPORATION
SAMI JF-YAZAKI (CHINA) INVESTMENT CORPORATION
SAKA AKSARA
PEMI-AW
PEMI AW
BEA DAN CUKAI
"NINIK, MTP"
"ZHALTOSA JAVA,CV"
"NITTO MATERIALS, PT"
JO.SHIMIZU-BCK
YAZAKI (HONG KONG) LIMITED
EMHART TEKNOLOGIES (THAILAND) LTD
BPJS TK
SAMUDERA INDONESIA
AGUNG JAYA SENTOSA
"MISUMI INDONESIA,PT"
JAMSOSTEK
PT. LUT PUTRA SOLDER
ASURANSI JIWA MANULIFE
"NYK LINE INDONESIA, PT"
"GLOBAL NIAGA EKSPRESS, PT"
MTP
"ASIAN BEARINDO JAYA, PT"
PUTRA MANDIRI TRANSPORT
YAZAKI HAI PHONG VIETNAM LTD
"EBEN HAEZER ,PT"
FOSHAN SHUNDE YAZAKI AUTOPARTS CO LTD
"Xiaogang Yazaki Auto Parts Co.,Ltd"
HESTO HARNESSES (PTY) LTD
"YAZAKI HAIPHONG VIETNAM, LTD QUANGNINH BRANCH"
